Epoch: 124 (Saved at 122), Train Loss: 76.000, Validation Loss: 37.952 (5.733), Epoch time: 31.946 s, LR = 0.00200000
Epoch: 125 (Saved at 122), Train Loss: 66.526, Validation Loss: 36.668 (5.947), Epoch time: 30.624 s, LR = 0.00200000
Epoch: 126 (Saved at 122), Train Loss: 69.486, Validation Loss: 34.891 (6.313), Epoch time: 31.938 s, LR = 0.00200000
Epoch: 127 (Saved at 127), Train Loss: 66.245, Validation Loss: 33.711 (5.936), Epoch time: 31.370 s, LR = 0.00200000
Epoch: 128 (Saved at 127), Train Loss: 64.646, Validation Loss: 35.815 (6.453), Epoch time: 30.513 s, LR = 0.00200000
Epoch: 129 (Saved at 127), Train Loss: 62.059, Validation Loss: 36.033 (5.784), Epoch time: 30.923 s, LR = 0.00200000
Epoch: 130 (Saved at 127), Train Loss: 61.931, Validation Loss: 35.231 (5.911), Epoch time: 31.767 s, LR = 0.00200000
Epoch: 131 (Saved at 127), Train Loss: 72.297, Validation Loss: 35.677 (5.573), Epoch time: 31.798 s, LR = 0.00200000
Epoch: 132 (Saved at 127), Train Loss: 65.667, Validation Loss: 34.674 (5.861), Epoch time: 31.601 s, LR = 0.00200000
Epoch: 133 (Saved at 127), Train Loss: 66.687, Validation Loss: 35.533 (6.301), Epoch time: 31.851 s, LR = 0.00200000
Epoch: 134 (Saved at 127), Train Loss: 63.868, Validation Loss: 34.834 (5.811), Epoch time: 32.341 s, LR = 0.00200000
Epoch: 135 (Saved at 127), Train Loss: 64.923, Validation Loss: 33.995 (5.700), Epoch time: 31.524 s, LR = 0.00200000
Epoch: 136 (Saved at 127), Train Loss: 66.658, Validation Loss: 36.821 (5.453), Epoch time: 31.245 s, LR = 0.00200000
Epoch: 137 (Saved at 127), Train Loss: 66.210, Validation Loss: 34.115 (5.934), Epoch time: 31.822 s, LR = 0.00200000
Epoch: 138 (Saved at 138), Train Loss: 65.605, Validation Loss: 31.462 (5.534), Epoch time: 32.239 s, LR = 0.00200000
Epoch: 139 (Saved at 138), Train Loss: 61.385, Validation Loss: 35.976 (5.666), Epoch time: 31.230 s, LR = 0.00200000
Epoch: 140 (Saved at 138), Train Loss: 60.470, Validation Loss: 36.084 (5.860), Epoch time: 30.221 s, LR = 0.00200000
Epoch: 141 (Saved at 138), Train Loss: 60.336, Validation Loss: 34.777 (5.504), Epoch time: 30.562 s, LR = 0.00200000
Epoch: 142 (Saved at 138), Train Loss: 59.966, Validation Loss: 35.211 (5.433), Epoch time: 31.127 s, LR = 0.00200000
Epoch: 143 (Saved at 138), Train Loss: 62.907, Validation Loss: 34.105 (5.135), Epoch time: 31.228 s, LR = 0.00200000
Epoch: 144 (Saved at 138), Train Loss: 61.204, Validation Loss: 36.817 (5.888), Epoch time: 31.356 s, LR = 0.00200000
Epoch: 145 (Saved at 138), Train Loss: 61.232, Validation Loss: 33.908 (5.726), Epoch time: 31.463 s, LR = 0.00200000
Epoch: 146 (Saved at 138), Train Loss: 59.191, Validation Loss: 35.184 (5.150), Epoch time: 29.746 s, LR = 0.00200000
Epoch: 147 (Saved at 138), Train Loss: 57.405, Validation Loss: 34.861 (4.551), Epoch time: 29.643 s, LR = 0.00200000
Epoch: 148 (Saved at 138), Train Loss: 64.128, Validation Loss: 33.767 (5.534), Epoch time: 30.702 s, LR = 0.00200000
